date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:36	389/389	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Dec%202019%2010:50:37%20GMT	http://tkkhalifahjogja.com/robots.txt		(from )
17:50:38	24925/24925	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:38%20GMT	http://tkkhalifahjogja.com/	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/index.html	(from )
17:50:38	1650/1650	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Sep%202015%2002:54:22%20GMT	http://tkkhalifahjogja.com//resource/doc/images/logo_tk.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/logo_tk.png	(from http://tkkhalifahjogja.com/)
17:50:39	248/248	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202015%2004:44:48%20GMT	http://tkkhalifahjogja.com/resource/themes/public/load-style.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/load-style.css	(from http://tkkhalifahjogja.com/)
17:50:39	221210/221210	---M-Z	200	added ('OK')	text/css	date:Tue,%2005%20Apr%202016%2007:40:10%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/styles.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/styles.css	(from http://tkkhalifahjogja.com/)
17:50:39	6424/6424	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202015%2004:44:46%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/camera.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/camera.css	(from http://tkkhalifahjogja.com/)
17:50:40	2121/2121	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202015%2004:44:46%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/video-js.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/video-js.css	(from http://tkkhalifahjogja.com/)
17:50:40	20077/20077	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202015%2004:44:46%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/prettyPhoto.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/prettyPhoto.css	(from http://tkkhalifahjogja.com/)
17:50:40	11993/11993	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202015%2007:22:28%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/flexnav.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/flexnav.css	(from http://tkkhalifahjogja.com/)
17:50:40	3202/3202	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202015%2004:44:48%20GMT	http://tkkhalifahjogja.com/resource/themes/public/themeChanger/css/colorpicker.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/themeChanger/css/colorpicker.css	(from http://tkkhalifahjogja.com/)
17:50:40	4453/4453	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Sep%202015%2004:44:48%20GMT	http://tkkhalifahjogja.com/resource/themes/public/themeChanger/css/themeChanger.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/themeChanger/css/themeChanger.css	(from http://tkkhalifahjogja.com/)
17:50:41	2153/2153	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Sep%202015%2008:21:36%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/table.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/table.css	(from http://tkkhalifahjogja.com/)
17:50:41	64411/64411	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Oct%202015%2002:53:28%20GMT	http://tkkhalifahjogja.com/resource/themes/public/css/animate.css	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/themes/public/css/animate.css	(from http://tkkhalifahjogja.com/)
17:50:43	11811/11811	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Apr%202016%2007:30:44%20GMT	http://tkkhalifahjogja.com/resource/doc/images/logo/jogja.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/logo/jogja.png	(from http://tkkhalifahjogja.com/)
17:50:44	18633/18633	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Apr%202016%2007:30:52%20GMT	http://tkkhalifahjogja.com/resource/doc/images/logo/logo.png	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/images/logo/logo.png	(from http://tkkhalifahjogja.com/)
17:50:44	24925/24925	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:44%20GMT	http://tkkhalifahjogja.com/public/home	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/home.html	(from http://tkkhalifahjogja.com/)
17:50:46	42754/42754	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:45%20GMT	http://tkkhalifahjogja.com/public/post	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/post.html	(from http://tkkhalifahjogja.com/)
17:50:47	22692/22692	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:47%20GMT	http://tkkhalifahjogja.com/public/read/index/sambutan-direktur	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/sambutan-direktur.html	(from http://tkkhalifahjogja.com/)
17:50:47	93868/93868	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from http://tkkhalifahjogja.com/)
17:50:48	21146/21146	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:49%20GMT	http://tkkhalifahjogja.com/public/read/index/visi-misi	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/visi-misi.html	(from http://tkkhalifahjogja.com/)
17:50:50	22548/22548	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:50%20GMT	http://tkkhalifahjogja.com/public/read/index/profil-sekolah	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/profil-sekolah.html	(from http://tkkhalifahjogja.com/)
17:50:51	21516/21516	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:52%20GMT	http://tkkhalifahjogja.com/public/read/index/prestasi	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/prestasi.html	(from http://tkkhalifahjogja.com/)
17:50:56	21171/21171	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:56%20GMT	http://tkkhalifahjogja.com/public/read/index/keunggulan	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/keunggulan.html	(from http://tkkhalifahjogja.com/)
17:50:58	20737/20737	---M-Z	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:50:59%20GMT	http://tkkhalifahjogja.com/public/read/index/visit-dokter	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/visit-dokter.html	(from http://tkkhalifahjogja.com/)
17:51:01	20589/20589	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:01%20GMT	http://tkkhalifahjogja.com/public/read/index/layanan-psikologi	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/layanan-psikologi.html	(from http://tkkhalifahjogja.com/)
17:51:02	20761/20761	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:03%20GMT	http://tkkhalifahjogja.com/public/read/index/perlengkapan-sekolah	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/perlengkapan-sekolah.html	(from http://tkkhalifahjogja.com/)
17:51:05	26059/26059	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:05%20GMT	http://tkkhalifahjogja.com/public/notice	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/notice.html	(from http://tkkhalifahjogja.com/)
17:51:06	21210/21210	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:07%20GMT	http://tkkhalifahjogja.com/public/read/index/daftar-aktivitas	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/read/index/daftar-aktivitas.html	(from http://tkkhalifahjogja.com/)
17:51:08	21705/21705	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:08%20GMT	http://tkkhalifahjogja.com/public/gallery	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/gallery.html	(from http://tkkhalifahjogja.com/)
17:51:10	22649/22649	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:10%20GMT	http://tkkhalifahjogja.com/public/contact	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/contact.html	(from http://tkkhalifahjogja.com/)
17:51:30	124583/124583	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Mar%202018%2005:50:05%20GMT	http://tkkhalifahjogja.com/resource/doc/banner/270318124955980_banner-web_lokasi-gedongkuning.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/banner/270318124955980_banner-web_lokasi-gedongkuning.jpg	(from http://tkkhalifahjogja.com/)
17:51:31	128610/128610	---M--	200	added ('OK')	image/jpeg	date:Wed,%2023%20Mar%202016%2001:53:33%20GMT	http://tkkhalifahjogja.com/resource/doc/banner/230316085331261_banner-brbs.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/banner/230316085331261_banner-brbs.jpg	(from http://tkkhalifahjogja.com/)
17:51:51	256903/256903	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Aug%202019%2003:16:09%20GMT	http://tkkhalifahjogja.com/resource/doc/banner/090819031609952_banner_web_gedongkuning_pindah.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/banner/090819031609952_banner_web_gedongkuning_pindah.jpg	(from http://tkkhalifahjogja.com/)
17:51:52	268622/268622	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Sep%202019%2007:45:01%20GMT	http://tkkhalifahjogja.com/resource/doc/banner/040919074501128_banner_web_manasik_haji_2019.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/banner/040919074501128_banner_web_manasik_haji_2019.jpg	(from http://tkkhalifahjogja.com/)
17:51:54	30912/30912	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:53%20GMT	http://tkkhalifahjogja.com/public/post/detail/minitrip-tk-khalifah-condongcatur-ke-sindu-kusuma-edupark	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/post/detail/minitrip-tk-khalifah-condongcatur-ke-sindu-kusuma-edupark.html	(from http://tkkhalifahjogja.com/)
17:51:54	161274/161274	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Nov%202015%2001:42:17%20GMT	http://tkkhalifahjogja.com/resource/doc/banner/141115014216452_ippho.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/banner/141115014216452_ippho.jpg	(from http://tkkhalifahjogja.com/)
17:51:56	30982/30982	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:56%20GMT	http://tkkhalifahjogja.com/public/post/detail/marketday-tk-khalifah-bantul	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/post/detail/marketday-tk-khalifah-bantul.html	(from http://tkkhalifahjogja.com/)
17:51:59	31110/31110	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Dec%202019%2010:51:59%20GMT	http://tkkhalifahjogja.com/public/post/detail/semarak-guru-memperingati-hut-ri-ke-74	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/public/post/detail/semarak-guru-memperingati-hut-ri-ke-74.html	(from http://tkkhalifahjogja.com/)
17:52:00	53478/53478	---M--	200	added ('OK')	image/jpeg	date:Thu,%2026%20Sep%202019%2009:42:21%20GMT	http://tkkhalifahjogja.com/resource/doc/news_images/3577-DSC_0555-C.jpg	C:/Users/Yolanda%20Trisyia/Documents/template_jogja/tkkhalifahjogja.com/resource/doc/news_images/3577-DSC_0555-C.jpg	(from http://tkkhalifahjogja.com/)
